tamanho,quicksort_ordenacao,quicksort_jaordenado,quicksort_decrescente,mergesort_ordenacao,mergesort_jaordenado,mergesort_decrescente,heapsort_ordenacao,heapsort_jaordenado,heapsort_decrescente,shellsort_ordenacao,shellsort_jaordenado,shellsort_decrescente
200000,0.025520,0.008000,0.008000,0.053280,0.032000,0.032000,0.039520,0.028000,0.028000,0.050480,0.008000,0.012000,
400000,0.052880,0.024000,0.020000,0.109880,0.072000,0.072000,0.086960,0.060000,0.060000,0.113100,0.020000,0.028000,
600000,0.078760,0.036000,0.032000,0.165120,0.108000,0.108000,0.134320,0.088000,0.088000,0.177260,0.036000,0.044000,
800000,0.105360,0.047000,0.031000,0.223000,0.156000,0.156000,0.185500,0.110000,0.110000,0.247180,0.047000,0.063000,
