tamanho,quicksort_ordenacao,quicksort_jaordenado,quicksort_decrescente,mergesort_ordenacao,mergesort_jaordenado,mergesort_decrescente,bublesort_ordenacao,bublesort_jaordenado,bublesort_decrescente
1000,0.000200,0.000000,0.000000,0.000200,0.000000,0.000000,0.002000,0.001000,0.003000,
5000,0.000400,0.001000,0.000000,0.001300,0.001000,0.000000,0.056900,0.032000,0.056000,
10000,0.001300,0.001000,0.000000,0.002300,0.002000,0.001000,0.264300,0.126000,0.222000,
