tamanho,quicksort_ordenacao,quicksort_jaordenado,quicksort_decrescente,mergesort_ordenacao,mergesort_jaordenado,mergesort_decrescente,heapsort_ordenacao,heapsort_jaordenado,heapsort_decrescente,shellsort_ordenacao,shellsort_jaordenado,shellsort_decrescente
100000,0.013000,0.005000,0.004000,0.025500,0.016000,0.016000,0.019000,0.013000,0.013000,0.023000,0.005000,0.007000,
200000,0.026900,0.011000,0.009000,0.052400,0.033000,0.033000,0.041700,0.029000,0.029000,0.051200,0.010000,0.014000,
300000,0.040300,0.017000,0.014000,0.080100,0.050000,0.049000,0.065700,0.045000,0.045000,0.081600,0.015000,0.022000,
400000,0.054000,0.023000,0.020000,0.106500,0.067000,0.066000,0.090100,0.059000,0.060000,0.112500,0.021000,0.029000,
500000,0.067000,0.030000,0.024000,0.134000,0.085000,0.082000,0.114400,0.078000,0.075000,0.143500,0.027000,0.037000,
600000,0.079400,0.036000,0.030000,0.159400,0.105000,0.102000,0.138300,0.092000,0.092000,0.175600,0.033000,0.045000,
700000,0.093500,0.041000,0.035000,0.190700,0.124000,0.123000,0.165600,0.108000,0.108000,0.213000,0.039000,0.054000,
800000,0.107600,0.046000,0.041000,0.218800,0.139000,0.140000,0.190500,0.122000,0.122000,0.241800,0.043000,0.064000,
900000,0.121000,0.053000,0.047000,0.247800,0.160000,0.156000,0.219000,0.142000,0.142000,0.279800,0.051000,0.068000,
1000000,0.134700,0.060000,0.052000,0.272600,0.174000,0.173000,0.243900,0.157000,0.157000,0.319800,0.057000,0.076000,
1100000,0.148100,0.066000,0.057000,0.303700,0.196000,0.194000,0.274100,0.176000,0.175000,0.358400,0.063000,0.084000,
1200000,0.161900,0.072000,0.064000,0.329700,0.210000,0.211000,0.302300,0.192000,0.192000,0.391600,0.070000,0.093000,
1300000,0.175400,0.079000,0.069000,0.356300,0.232000,0.227000,0.331700,0.210000,0.208000,0.427500,0.076000,0.103000,
1400000,0.188400,0.085000,0.077000,0.389700,0.258000,0.254000,0.360400,0.227000,0.227000,0.471400,0.082000,0.114000,
1500000,0.202200,0.090000,0.080000,0.417600,0.273000,0.272000,0.392100,0.242000,0.245000,0.501200,0.088000,0.121000,
1600000,0.215300,0.098000,0.088000,0.444800,0.293000,0.290000,0.420500,0.260000,0.260000,0.540600,0.094000,0.132000,
1700000,0.230300,0.104000,0.093000,0.476100,0.312000,0.308000,0.449700,0.279000,0.278000,0.582800,0.101000,0.136000,
1800000,0.243900,0.110000,0.097000,0.502100,0.326000,0.323000,0.483000,0.290000,0.292000,0.618500,0.104000,0.145000,
1900000,0.255400,0.117000,0.100000,0.530900,0.339000,0.331000,0.514100,0.308000,0.308000,0.658200,0.111000,0.147000,
2000000,0.269200,0.124000,0.109000,0.553600,0.364000,0.356000,0.543900,0.329000,0.330000,0.683300,0.119000,0.163000,
2100000,0.285600,0.128000,0.111000,0.585800,0.380000,0.376000,0.574200,0.341000,0.343000,0.754100,0.122000,0.170000,
2200000,0.297100,0.138000,0.120000,0.617200,0.406000,0.403000,0.606200,0.362000,0.357000,0.770700,0.132000,0.181000,
2300000,0.310900,0.145000,0.126000,0.647400,0.427000,0.423000,0.642500,0.384000,0.382000,0.819000,0.138000,0.199000,
2400000,0.332600,0.152000,0.133000,0.699200,0.448000,0.444000,0.719700,0.399000,0.401000,0.872900,0.143000,0.207000,
2500000,0.339600,0.160000,0.140000,0.709100,0.467000,0.465000,0.719100,0.422000,0.425000,0.902000,0.152000,0.211000,
2600000,0.357600,0.166000,0.148000,0.742200,0.481000,0.473000,0.770600,0.429000,0.429000,0.959500,0.157000,0.211000,
