tamanho,quicksort_ordenacao,quicksort_jaordenado,quicksort_decrescente,mergesort_ordenacao,mergesort_jaordenado,mergesort_decrescente,heapsort_ordenacao,heapsort_jaordenado,heapsort_decrescente,shellsort_ordenacao,shellsort_jaordenado,shellsort_decrescente
2700000,0.369500,0.181000,0.155000,0.773400,0.513000,0.500000,0.803700,0.460000,0.476000,0.981500,0.172000,0.222000,
2800000,0.386200,0.179000,0.162000,0.816100,0.528000,0.526000,0.865000,0.472000,0.477000,1.033900,0.175000,0.223000,
2900000,0.398000,0.185000,0.166000,0.837400,0.551000,0.534000,0.874800,0.490000,0.493000,1.088200,0.178000,0.251000,
3000000,0.411600,0.193000,0.173000,0.869800,0.562000,0.560000,0.921800,0.512000,0.516000,1.136300,0.185000,0.242000,
3100000,0.425200,0.200000,0.181000,0.891000,0.579000,0.567000,0.974600,0.516000,0.522000,1.163200,0.187000,0.276000,
3200000,0.440600,0.204000,0.189000,0.921300,0.622000,0.603000,1.002500,0.545000,0.559000,1.206600,0.199000,0.274000,
3300000,0.456000,0.210000,0.190000,0.955500,0.619000,0.601000,1.015500,0.553000,0.555000,1.271400,0.201000,0.264000,
3400000,0.464900,0.217000,0.195000,0.975400,0.640000,0.631000,1.033200,0.577000,0.582000,1.280400,0.213000,0.274000,
3500000,0.481000,0.217000,0.200000,1.011000,0.649000,0.634000,1.075300,0.595000,0.596000,1.323800,0.213000,0.281000,
3600000,0.493800,0.218000,0.203000,1.035700,0.657000,0.656000,1.113300,0.594000,0.598000,1.391100,0.219000,0.282000,
3700000,0.489200,0.219000,0.203000,1.026800,0.672000,0.672000,1.086000,0.610000,0.625000,1.367200,0.218000,0.313000,
3800000,0.506000,0.235000,0.219000,1.058400,0.688000,0.687000,1.126400,0.625000,0.625000,1.394100,0.234000,0.312000,
3900000,0.522500,0.250000,0.234000,1.089200,0.753000,0.735000,1.162700,0.640000,0.656000,1.486700,0.235000,0.329000,
4000000,0.533700,0.250000,0.219000,1.112100,0.734000,0.719000,1.193100,0.672000,0.672000,1.497400,0.234000,0.344000,
4100000,0.548700,0.265000,0.219000,1.143400,0.750000,0.719000,1.232400,0.688000,0.688000,1.546300,0.250000,0.328000,
4200000,0.564300,0.265000,0.219000,1.169100,0.768000,0.750000,1.266700,0.688000,0.703000,1.590500,0.266000,0.343000,
4300000,0.575300,0.282000,0.235000,1.198400,0.781000,0.765000,1.304600,0.719000,0.719000,1.623100,0.265000,0.375000,
4400000,0.584700,0.281000,0.234000,1.238700,0.813000,0.797000,1.339600,0.735000,0.735000,1.684000,0.281000,0.375000,
4500000,0.603200,0.282000,0.250000,1.275300,0.828000,0.828000,1.401100,0.766000,0.782000,1.748500,0.281000,0.390000,
4600000,0.621800,0.297000,0.250000,1.315300,0.849000,0.831000,1.447100,0.774000,0.782000,1.761000,0.281000,0.391000,
4700000,0.625700,0.297000,0.265000,1.315200,0.875000,0.844000,1.444700,0.797000,0.782000,1.831300,0.295000,0.407000,
4800000,0.639500,0.313000,0.265000,1.376500,0.906000,0.875000,1.482900,0.797000,0.812000,1.858200,0.297000,0.406000,
4900000,0.651500,0.312000,0.266000,1.383800,0.937000,0.906000,1.517700,0.828000,0.828000,1.881000,0.297000,0.422000,
5000000,0.675100,0.328000,0.281000,1.429500,0.938000,0.906000,1.565000,0.844000,0.844000,1.931900,0.313000,0.422000,
